IdPF,ValorGenericoPF,ValorMGPF
836,"157,35","168,87"
837,"212,9","228,48"
838,"36,73","39,41"
839,"73,49","78,87"
840,"148,53","159,4"
841,"18,35","19,7"
842,"14,73","15,8"
843,"29,7","31,88"
844,"16,09","17,27"
845,"13,52","14,51"
846,"30,15","32,69"
847,"27,63","29,96"
848,"20,72","22,47"
849,"6,92","7,51"
850,"18,38","19,72"
851,"27,55","29,56"
852,"38,93","42,22"
853,"43,77","47,47"
854,"87,54","94,92"
855,"10,16","10,9"
856,"25,07","26,9"
857,"67,65","72,6"
858,"20,07","21,54"
859,"60,14","64,54"
860,"32,1","34,81"
861,"26,35","28,28"
862,"31,8","34,12"
863,"51,92","55,72"
864,"63,57","68,22"
865,"40,43","43,39"
866,"66,68","71,56"
867,"35,67","38,68"
868,"11,18",12
869,"35,64","38,24"
870,"116,7","125,24"
871,"25,85","27,74"
872,"97,93","105,1"
873,"1510,67","1621,21"
874,"7517,64","8067,71"
875,"2390,07","2564,95"
876,"480,98","516,17"
877,"1876,63","2013,94"
878,"20,64","22,38"
879,"37,5","40,66"
880,"49,08","53,22"
881,"65,29","70,8"
882,"1365,5","1480,74"
883,"5797,32","6221,51"
884,"51,34","55,1"
885,"99,8","107,1"
886,"152,05","163,17"
887,"202,85","217,7"
888,"154,02","165,29"
889,"299,36","321,27"
890,"9,68","10,5"
891,"18,43","19,99"
892,"23,01","24,7"
893,"69,11","74,17"
894,"1529,77","1641,71"
895,"2824,21","3030,85"
896,"19,14","20,75"
897,"32,5","35,24"
898,"11,35","12,31"
899,"22,33","24,21"
900,"38,32","41,55"
901,"50,28","53,96"
902,"150,76","161,79"
903,"15,23","16,34"
904,"29,89","32,07"
905,"56,56","60,7"
906,"111,99","120,18"
907,"862,43","925,54"
908,"689,93","740,41"
909,"6,84","7,34"
910,"13,69","14,7"
911,"10,32","11,07"
912,"5,9","6,33"
913,"7,14","7,66"
914,"9,7","10,41"
915,"6,86","7,37"
916,"8,08","8,67"
917,"6,13","6,57"
918,"7,77","8,34"
919,"10,6","11,38"
920,"8,07","8,66"
921,"7,95","8,54"
922,"8,89","9,54"
923,"12,3","13,2"
924,"668,89","717,83"
925,"168,01","180,3"
926,"248,13","266,28"
927,"496,32","532,63"
928,"52,76","56,62"
929,"87,07","93,44"
930,"145,31","155,94"
931,"578,5","620,83"
932,"88,25","94,71"
933,"74,3","79,73"
934,"19,78","21,23"
935,"59,32","63,66"
936,"68,2","73,2"
937,"73,93","79,34"
938,"17,44","18,72"
939,"52,31","56,13"
940,"30,14","32,68"
941,"18,91","20,29"
942,"56,74","60,89"
943,"113,48","121,78"
944,"34,1","36,98"
945,"68,2","73,96"
946,"102,29","110,93"
947,"204,59","221,85"
948,"54,88","58,89"
949,"109,81","117,84"
950,"146,33","157,04"
951,"43,49","46,67"
952,"113,03","121,3"
953,"41,84","44,9"
954,"51,5","55,27"
955,"85,83","92,11"
956,"16,36","17,56"
957,"35,07","37,63"
958,"70,1","75,23"
959,"140,25","150,51"
960,"28,97","31,09"
961,"63,1","67,72"
962,"126,22","135,45"
963,"239,9","257,45"
964,"38,1","40,89"
965,"114,31","122,67"
966,"35,43","38,42"
967,"54,59","59,2"
968,"100,85","109,36"
969,"15,1","16,38"
970,"11,96","12,97"
971,"18,21","19,75"
972,"35,35","38,33"
973,"16,03","17,38"
974,"24,41","26,47"
975,"17,76","19,06"
976,"35,51","38,11"
977,"60,41","64,83"
978,"15,25","16,37"
979,"45,98","49,34"
980,"17,35","18,62"
981,"52,35","56,18"
982,"56,76","61,55"
983,"104,07","112,86"
984,"36,25","39,31"
985,"108,75","117,93"
986,"56,68","61,47"
987,"4089,91","4389,17"
988,"8179,83","8778,35"
989,"238,13","255,55"
990,"63,5","68,15"
991,"18,99","20,59"
992,"39,38","42,71"
993,"2501,65","2684,69"
994,"3222,64","3458,44"
995,"175,22","190,01"
996,"118,41","128,41"
997,"67,07","72,73"
998,"77,75","83,44"
999,"108,9","116,87"
1000,"22,9","24,57"
1001,"43,02","46,17"
1002,"40,28","43,23"
1003,"51,38","55,13"
1004,"33,57","36,4"
1005,"108,52","117,68"
1006,"360,58","391,01"
1007,"120,19","130,34"
1008,"426,13","462,1"
1009,"142,03","154,02"
1010,"179,75","194,92"
1011,"140,47","152,33"
1012,"69,33","74,4"
1013,"138,65","148,79"
1014,"277,28","297,57"
1015,"26,49","28,43"
1016,"55,67","59,74"
1017,"28,99","31,44"
1018,"36,09","39,13"
1019,"15,79","17,12"
1020,"19,06","20,66"
1021,"25,53","27,68"
1022,"58,33","62,6"
1023,"116,63","125,16"
1024,"8,68","9,32"
1025,"32,53","34,91"
1026,"2658,46","2852,98"
1027,"91,91","98,63"
1028,"77,33","82,99"
1029,"153,17","164,38"
1030,"16,84","18,26"
1031,"33,37","36,19"
1032,"49,86","54,07"
1033,"37,35","40,09"
1034,"42,55","45,66"
1035,"48,41","51,95"
1036,"96,84","103,93"
1037,"20,7","22,22"
1038,"62,15","66,7"
1039,"36,8","39,49"
1040,"60,06","64,45"
1041,"104,69","112,35"
1042,"46,68","50,1"
1043,"137,6","147,67"
1044,"1376,05","1476,73"
1045,"39,76","42,67"
1046,"22,3","23,93"
1047,"55,88","60,6"
1048,"73,9","79,3"
1049,"88,33","94,79"
1050,"100,8","108,17"
1051,"73,72","79,11"
1052,"110,38","118,45"
1053,"17,52","18,8"
1054,"120,22","129,01"
1055,"205,15","220,16"
1056,"61,84","66,37"
1057,"66,27","71,12"
1058,"128,8","138,22"
1059,"219,78","235,87"
1060,"89,32","95,85"
1061,"189,52","203,39"
1062,"376,6","404,16"
1063,"50,63","54,9"
1064,"62,55","67,83"
1065,"15,09","16,37"
1066,"30,25","32,81"
1067,"60,41","65,51"
1068,"112,06","121,51"
1069,"30,98","33,24"
1070,"73,63","79,01"
1071,"101,4","108,82"
1072,"101,2","108,61"
1073,"3848,71","4130,32"
1074,"4957,92","5320,69"
1075,"28,61","31,03"
1076,"60,6","65,71"
1077,"19,06","20,45"
1078,"26,11","28,02"
1079,"37,07","39,78"
1080,"25,03","26,87"
1081,"132,57","142,27"
1082,"14,94","16,2"
1083,"27,53","29,85"
1084,"35,21","38,18"
1085,"570,25","611,98"
1086,"3421,5","3671,85"
1087,"29,55","31,71"
1088,"23,91","25,66"
1089,"21,22","22,77"
1090,"35,86","38,49"
1091,"10,1","10,84"
1092,"297,05","318,78"
1093,"25,24","27,09"
1094,"2182,14","2341,8"
1095,"35,14","37,71"
1096,"35,13","37,7"
1097,"58,78","63,09"
1098,"25,23","27,07"
1099,"33,75","36,22"
1100,"48,06","51,57"
1101,"12,56","13,62"
1102,"94,2","102,15"
1103,"118,9","128,93"
1104,"19,41","20,83"
1105,"58,23","62,49"
1106,"36,33","38,99"
1107,"109,07","117,05"
1108,"218,13","234,09"
1109,"75,32","80,83"
1110,"89,13","95,65"
1111,"146,61","157,34"
1112,"271,2","291,05"
1113,"249,25","267,49"
1114,"112,25","120,46"
1115,"46,16","49,54"
1116,"46,43","49,83"
1117,106,"113,76"
1118,"134,05","143,85"
1119,"84,19","90,35"
1120,"100,9","108,28"
1121,"110,66","118,76"
1122,"31,61","34,27"
1123,"70,18","76,1"
1124,"282,18",306
1125,"507,66","550,5"
